id,supplier_entity_id,supplier_name,agency,agency_entity_id,contract_title,value_aud,value_incl_gst,portal,portal_id,award_published,contract_start,contract_end,method_of_tendering,category,abn,is_duplicate_of,duplicate_note,verification_note,fact_status,source_id,confidence,as_of_date
1,ENT_TCS,TATA Consultancy Services LTd,Transport for NSW,,CW2307478 - Transport Equip Centre of Excellence (Maintain and Operate Services),118312700.0,1,buy.nsw,CAN-100812,2025-07-17,2018-03-29,2027-06-30,Direct negotiation,Information and technology,28109981777,,,"VERIFIED AGAINST THE PRIMARY NOTICE, read in full. Value inc GST $118,312,700.00; effective 29-Mar-2018; contract end 30-Jun-2027; published 17-Jul-2025; METHOD OF TENDERING 'Direct negotiation'; supplier ABN 28109981777 / ACN 109981777 at 76 Berry Street North Sydney; heightened modern slavery due diligence 'No'; piggyback clause 'No'; variation, renegotiation and other-beneficiary provisions all 'Not applicable'; 'No amendments have been made to this disclosure'. TERM IS 9 YEARS 3 MONTHS. This is one continuous sole-sourced engagement, not a 2025 award, and not a new project.",VERIFIED,SRC_BUYNsw_CAN100812,high,2026-09-18
2,ENT_TCS,TATA Consultancy Services LTd,Transport for NSW,,Operation and Maintenance of Transport Equipment Centre of Excellence,118312700.0,1,aggregator,govmarket/tecoe,2025-07-29,2018-03-29,2027-06-30,Direct negotiation,Transport & Logistics,,1,"DUPLICATE OF CAN-100812. Identical value to the cent ($118,312,700.00), identical award date (GovMarket's own contract record states 'Awarded 29 Mar 2018 - 9y 3mo term - 92% elapsed'), identical expiry (Wed 30 June 2027). The supplier listing dates it '29 July 2025' while the contract record dates it '29 Mar 2018' - the aggregator is internally inconsistent about its own record. This single duplicate inflates the published portfolio by $118,312,700 and the contract count by one.","Excluded from all Observatory totals. Retained as a row precisely so the inflation is auditable rather than silently corrected. Sourced to the aggregator page because that is where the SECOND listing of this contract was directly observed; the fact_status is VERIFIED because the duplication itself was proven by comparing it against primary notice CAN-100812 - identical value to the cent, identical 29 March 2018 award date, identical 30 June 2027 expiry. What is verified is the duplication, not a new fact about spend.",VERIFIED,SRC_GOVMARKET_TECOE,high,2026-09-18
3,ENT_TCS,TATA CONSULTANCY SERVICES LIMITED,Transport for NSW,,Professional Services Provided to Transport for NSW,1100000.0,1,aggregator,govmarket/tfnsw-ps-2025,2025-07-01,,,,Consultancy & Legal,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
4,ENT_TCS,TATA Consultancy Services LTd,Transport for NSW,,Defect Fix Services for OneStream Solution,1100000.0,1,aggregator,govmarket/onestream-defect,2024-12-19,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
5,ENT_TCS,TATA Consultancy Services Ltd,Transport for NSW,,Professional Services for OneStream Solution,350000.0,1,aggregator,govmarket/onestream-ps,2024-12-18,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
6,ENT_TCS,TATA Consultancy Services LTd,Transport for NSW,,Professional Services for OneStream Solution (second award),285000.0,1,aggregator,govmarket/onestream-ps2,2024-12-17,,,,IT & Software,,,,"Three OneStream awards on three consecutive days in December 2024 totalling $1,735,000. The user-supplied brief described these as 'multiple contracts totalling roughly AUD $1.7 million', which matches. Whether three same-title awards on consecutive days are three scopes or one scope split across notices is unresolved (RG-072).",REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
7,ENT_TCS,Tata Consultancy Services,Transport for NSW,,Azure EiPaaS Platform Services,829000.0,1,aggregator,govmarket/azure-eipaas,2024-08-20,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
8,ENT_TCS,Tata Consultancy Services,Transport for NSW,,SAP Fiori Forms Delivery Services,570000.0,1,aggregator,govmarket/sap-fiori,2024-07-29,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
9,ENT_TCS,Tata Consultancy Services Limited,Reserve Bank of Australia,,CoreMod System Integration for Application Migrations,14000000.0,1,aggregator,govmarket/rba-coremod,2025-07-30,,,,IT & Software,,,,Second largest single award in the portfolio. The user-supplied brief dated this 'July 2025'; the aggregator dates publication 30 July 2025. AusTender record of primary not yet read (RG-072).,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
10,ENT_TCS,Tata Consultancy Services,Reserve Bank of Australia,,Professional Services for Cloud Build Capability,2000000.0,1,aggregator,govmarket/rba-cloud,2025-06-01,,,,IT & Software,,,,Flagged by the aggregator as expiring within two months of the snapshot - i.e. a live recompete.,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
11,ENT_TCS,Tata Consultancy Services,Department of Defence,,Industry Benchmarking Services,1100000.0,1,aggregator,govmarket/defence-benchmark,2025-05-05,,,,Consultancy & Legal,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
12,ENT_TCS,Tata Consultancy Services,Department of Customer Service,,Office 365 Environment Setup for MoG GSS,189000.0,1,aggregator,govmarket/o365-mog,2025-05-05,,,,IT & Software,,,,"AGENCY ATTRIBUTION UNRESOLVED. GovMarket attributes this to the NSW Department of Customer Service; 'MoG GSS' denotes Machinery-of-Government change affecting Government Shared Services, and the award pattern is consistent with a Commonwealth publication. Carried at low confidence; resolve via RG-072.",REPORTED,SRC_GOVMARKET_TCS,low,2026-09-18
13,ENT_TCS,Tata Consultancy Services,Department of the Prime Minister and Cabinet,,ICT Contractor Services,135000.0,1,aggregator,govmarket/pmc-ict,2025-02-16,,,,IT & Software,,,,"Notable because PM&C now houses the Office of AI, which is the Commonwealth body coordinating data centre policy and which flagged national AI Standard legislation for early 2027.",REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
14,ENT_TCS,Tata Consultancy Services,NSW Electoral Commission,,Software Licensing,239000.0,1,aggregator,govmarket/nswec-lic,,,,,IT & Software,,,,Flagged by the aggregator as expiring within four months of the snapshot.,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
15,ENT_TCS,Tata Consultancy Services,Melbourne Water,,M365 OneDrive and SharePoint Platform Level 2 Infrastructure Support,192000.0,1,aggregator,govmarket/mw-m365,2024-11-30,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
16,ENT_TCS,Tata Consultancy Services,Melbourne Water,,SolarWinds Phase 2 Implementation,157000.0,1,aggregator,govmarket/mw-solarwinds2,2024-11-24,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
17,ENT_TCS,Tata Consultancy Services,Melbourne Water,,Project Manager for Network Zone Model Refinement Project,135000.0,1,aggregator,govmarket/mw-netzone,2024-11-05,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
18,ENT_TCS,Tata Consultancy Services,Melbourne Water,,Project Manager Services for Cyber Security Initiatives,140000.0,1,aggregator,govmarket/mw-cyberpm,2024-11-03,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
19,ENT_TCS,Tata Consultancy Services,Melbourne Water,,DR Infra Build - Phase 2,289000.0,1,aggregator,govmarket/mw-dr2,2024-10-22,,,,IT & Software,,,,Disaster recovery infrastructure build. Recorded because DR architecture is a data-centre-adjacent scope: it implies secondary site capacity.,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
20,ENT_TCS,Tata Consultancy Services,Melbourne Water,,Citrix Upgrade,209000.0,1,aggregator,govmarket/mw-citrix,2024-10-08,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
21,ENT_TCS,Tata Consultancy Services,Melbourne Water,,SolarWinds and ServiceNow Tools Support,370000.0,1,aggregator,govmarket/mw-solarwinds-sn,2024-08-31,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
22,ENT_TCS,Tata Consultancy Services,Melbourne Water,,End-of-Life Hardware Replacement,105000.0,1,aggregator,govmarket/mw-eol,2024-07-04,,,,IT & Software,,,,,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
23,ENT_TCS,Tata Consultancy Services,Melbourne Water,,GIS Consultant T&M Engagement,197000.0,1,aggregator,govmarket/mw-gis,2024-06-30,,,,Consultancy & Legal,,,,Time-and-materials. The only engagement in the visible set explicitly priced by time.,REPORTED,SRC_GOVMARKET_TCS,medium,2026-09-18
